variable;imp_log;imp_ridge;imp_lasso;imp_elastic;imp_foret;imp_adaboost;imp_logiboost
RIDAGEYR_demo;7.48910115156116;NA;0.632151664710529;0.290859202011421;7.0168245632339;8.72241144455556;8.95437265720806
BPQ020_bpq2;5.45298744704753;NA;NA;NA;NA;NA;NA
MCQ080_mcq2;4.41544300420384;NA;NA;NA;NA;NA;NA
DIQ010_diq2;2.67231465417268;NA;NA;NA;NA;NA;NA
BMXBMI_bmx;1.30963846947069;NA;NA;NA;0.62789690148896;-0.054873981700093;0.0352473826242993
BMXHT_bmx;1.27064341839751;NA;NA;NA;NA;NA;NA
IMQ011_imq2;1.12902828745524;NA;NA;NA;NA;NA;NA
SLQ050_slq2;1.07105279502046;NA;NA;NA;NA;NA;NA
RIAGENDR_demo2;1.02946631873878;NA;0.139535713175829;NA;NA;NA;NA
BMXWT_bmx;1.01194454963338;NA;NA;NA;0.306267494913146;NA;NA
SLQ050_slq9;NA;5.70123902176226;NA;6.55778254856733;NA;NA;NA
PAQ635_paq9;NA;3.78203902911299;NA;1.63596814205149;NA;NA;NA
PAQ650_paq9;NA;3.77360745431585;NA;0.879915598143503;NA;NA;NA
PAQ605_paq9;NA;2.43948826143195;NA;NA;NA;NA;NA
PAQ620_paq9;NA;2.09788482361657;NA;NA;NA;NA;NA
HOQ065_hoq9;NA;1.64146502733641;NA;NA;NA;NA;NA
HIQ011_hiq7;NA;0.715163042624739;NA;NA;NA;NA;NA
IMQ011_imq7;NA;0.63550502714898;NA;NA;NA;NA;NA
HEQ030_heq9;NA;0.619278331055169;NA;NA;NA;NA;NA
IMQ020_imq2;NA;0.51439576787043;NA;NA;NA;NA;NA
OHAREC_ohxref4;NA;NA;0.230496838920833;0.685513420310296;NA;NA;NA
INDFMPIR_demo;NA;NA;0.188028142781261;NA;NA;-0.099534144604441;NA
DR1TFIBE_dr1tot;NA;NA;0.18419647142817;NA;NA;0.0435539579728211;-0.0478123751578399
DR1TMAGN_dr1tot;NA;NA;0.140363341421878;NA;NA;NA;NA
RIDSTATR_demo;NA;NA;0.139535713175829;NA;NA;NA;NA
DMDHHSIZ_demo;NA;NA;0.139535713175829;NA;NA;NA;NA
DMDFMSIZ_demo;NA;NA;0.139535713175829;NA;NA;NA;NA
INDFMIN2_demo10;NA;NA;NA;0.842612921499482;NA;NA;NA
Var_TRAVAILoui;NA;NA;NA;0.334985788612409;NA;NA;NA
INDHHIN2_demo10;NA;NA;NA;0.31560595173552;NA;NA;NA
PAQ635_paq2;NA;NA;NA;0.206281392233992;NA;NA;NA
INDHHIN2_demo5;NA;NA;NA;0.175450152311712;NA;NA;NA
BPQ020_bpq;NA;NA;NA;NA;3.10960392564937;3.02483697038595;2.31804821834539
INDFMIN2_demo;NA;NA;NA;NA;2.33878104920631;0.022450671765335;0.0374894313959107
INDHHIN2_demo;NA;NA;NA;NA;2.1746627711748;0.0127058692685887;NA
DIQ010_diq;NA;NA;NA;NA;1.35379233672725;0.90961903473962;0.898754721206293
BPXSY1_bpx;NA;NA;NA;NA;0.548545238931565;NA;NA
BPXSY2_bpx;NA;NA;NA;NA;0.498364239664551;NA;NA
BPXSY3_bpx;NA;NA;NA;NA;0.31122228673107;NA;NA
MCQ080_mcq;NA;NA;NA;NA;NA;0.824390711551964;0.744881860042708
DR1TVB1_dr1tot;NA;NA;NA;NA;NA;-0.0625275641110744;NA
DR1TPOTA_dr1tot;NA;NA;NA;NA;NA;NA;-0.0364846054924616
DR1TATOC_dr1tot;NA;NA;NA;NA;NA;NA;-0.066469613878457
SLQ050_slq;NA;NA;NA;NA;NA;NA;-0.0859692486279722
